summoner_name,summoner_tag_name,match_to_pull_from,number_of_matches_to_pull,last_pulled,unique_combination
Vonavi,EUNE,0,1,1,VonaviEUNE
Vonavi,EUNE,2,1,2,VonaviEUNE
Vonavi,EUNE,3,1,3,VonaviEUNE
Vonavi,EUNE,4,1,4,VonaviEUNE
Vonavi,EUNE,5,2,6,VonaviEUNE
Vonavi,EUNE,7,1,7,VonaviEUNE
Vonavi,EUNE,8,1,8,VonaviEUNE
Vonavi,EUNE,9,1,9,VonaviEUNE
korro90,Lili,0,1,1,korro90Lili
Blow Time,Ayed,0,1,1,Blow TimeAyed
TanChi,ARISE,0,5,5,TanChiARISE
TanChi,ARISE,6,5,10,TanChiARISE
TanChi,ARISE,11,5,15,TanChiARISE
TanChi,ARISE,16,5,20,TanChiARISE
TanChi,ARISE,21,5,25,TanChiARISE
TanChi,ARISE,26,5,30,TanChiARISE
TanChi,ARISE,31,5,35,TanChiARISE
TanChi,ARISE,36,5,40,TanChiARISE
TanChi,ARISE,41,5,45,TanChiARISE
TanChi,ARISE,46,5,50,TanChiARISE
TanChi,ARISE,51,5,55,TanChiARISE
hadusahdsaia,ICY,0,5,5,hadusahdsaiaICY
hadusahdsaia,ICY,6,5,10,hadusahdsaiaICY
hadusahdsaia,ICY,11,5,15,hadusahdsaiaICY
hadusahdsaia,ICY,16,5,20,hadusahdsaiaICY
hadusahdsaia,ICY,21,5,25,hadusahdsaiaICY
hadusahdsaia,ICY,26,5,30,hadusahdsaiaICY
hadusahdsaia,ICY,31,5,35,hadusahdsaiaICY
hadusahdsaia,ICY,36,5,40,hadusahdsaiaICY
Legancko,EUNE,0,5,5,LeganckoEUNE
Legancko,EUNE,6,5,10,LeganckoEUNE
Legancko,EUNE,11,5,15,LeganckoEUNE
Legancko,EUNE,16,5,20,LeganckoEUNE
Legancko,EUNE,21,5,25,LeganckoEUNE
Legancko,EUNE,26,5,30,LeganckoEUNE
Legancko,EUNE,31,5,35,LeganckoEUNE
Legancko,EUNE,36,5,40,LeganckoEUNE
Legancko,EUNE,41,5,45,LeganckoEUNE
Legancko,EUNE,46,5,50,LeganckoEUNE
Legancko,EUNE,51,5,55,LeganckoEUNE
Legancko,EUNE,56,1,56,LeganckoEUNE
Legancko,EUNE,57,5,61,LeganckoEUNE
Legancko,EUNE,62,5,66,LeganckoEUNE
Legancko,EUNE,67,5,71,LeganckoEUNE
Legancko,EUNE,72,5,76,LeganckoEUNE
