summoner_name,champion_name,tags,kills,deaths,assists,lane,team_color,has_won,goldEarned,totalDamageDealtToChampions,totalMinionsKilled,neutralMinionsKilled,items
Krattoos,Heimerdinger,"Mage, Support",17,14,6,TOP,100,True,23206,82266,286,16,"Zhonya's Hourglass, Rabadon's Deathcap, Liandry's Torment, Horizon Focus, Rylai's Crystal Scepter, Void Staff, Stealth Ward"
sped,LeeSin,"Fighter, Assassin",5,7,19,JUNGLE,100,True,17117,23020,32,177,"Eclipse, Profane Hydra, Mercury's Treads, Maw of Malmortius, Black Cleaver, Kindlegem, Stealth Ward"
BuilderBob,Lissandra,Mage,4,18,8,MIDDLE,100,True,14024,26083,208,6,"Shadowflame, Zhonya's Hourglass, Malignance, Sorcerer's Shoes, Needlessly Large Rod, Needlessly Large Rod, Stealth Ward"
RVDUK,MissFortune,Marksman,8,7,11,BOTTOM,100,True,17543,30997,217,18,"Bloodthirster, Boots of Swiftness, Lord Dominik's Regards, Essence Reaver, Infinity Edge, Zeal, Stealth Ward"
Mamacu,Lux,"Mage, Support",13,5,11,UTILITY,100,True,17615,55611,73,0,"Shadowflame, Mejai's Soulstealer, Sorcerer's Shoes, Malignance, Stormsurge, Rabadon's Deathcap, Oracle Lens"
Vonavi,Garen,"Fighter, Tank",9,6,7,TOP,200,False,14912,18002,210,12,"Stridebreaker, Force of Nature, Mercury's Treads, Sterak's Gage, Overlord's Bloodmail, Unknown Item, Stealth Ward"
Kazumoo,Diana,"Fighter, Mage",11,17,9,JUNGLE,200,False,19761,41851,88,189,"Zhonya's Hourglass, Stormsurge, Lich Bane, Nashor's Tooth, Sorcerer's Shoes, Shadowflame, Stealth Ward"
LoveOverWar,Gragas,"Fighter, Mage",18,5,13,MIDDLE,200,False,21783,66023,283,15,"Luden's Companion, Seraph's Embrace, Mejai's Soulstealer, Stormsurge, Shadowflame, Rabadon's Deathcap, Farsight Alteration"
ML270,Twitch,"",7,9,10,BOTTOM,200,False,17332,19869,254,4,"Berserker's Greaves, The Collector, Blade of The Ruined King, Lord Dominik's Regards, Runaan's Hurricane, Bloodthirster, Stealth Ward"
pvkvm,Senna,"Marksman, SupportMarksman, Assassin",6,10,12,UTILITY,200,False,13915,13225,88,0,"Edge of Night, The Collector, Black Cleaver, Rapid Firecannon, Boots of Swiftness, Kindlegem, Stealth Ward"
YTF,Teemo,"Marksman, Assassin",5,10,8,TOP,100,False,11932,26186,201,7,"Liandry's Torment, Sorcerer's Shoes, Nashor's Tooth, Shadowflame, Unknown Item, Unknown Item, Stealth Ward"
ollister18,Nunu,"Tank, Fighter",15,8,5,JUNGLE,100,False,13320,26389,42,110,"Rabadon's Deathcap, Hextech Rocketbelt, Blighting Jewel, Shadowflame, Sorcerer's Shoes, Blasting Wand, Oracle Lens"
KlÖ,Katarina,"Assassin, Mage",5,8,7,MIDDLE,100,False,9462,12967,145,0,"Refillable Potion, Lich Bane, Liandry's Torment, Sorcerer's Shoes, Hextech Alternator, Unknown Item, Stealth Ward"
Kazumoo,Ashe,"Marksman, Support",10,8,7,BOTTOM,100,False,12826,22981,189,8,"Infinity Edge, Last Whisper, Statikk Shiv, Phantom Dancer, Berserker's Greaves, Cloak of Agility, Stealth Ward"
Vonavi,Thresh,"Support, Fighter",1,5,16,UTILITY,100,False,7774,8364,32,0,"Locket of the Iron Solari, Warmog's Armor, Unknown Item, Plated Steelcaps, Unknown Item, Solstice Sleigh, Oracle Lens"
TwóSłodkiTata69,Yorick,"Fighter, Tank",8,7,3,TOP,200,True,14168,23707,219,6,"Black Cleaver, Trinity Force, Mercury's Treads, Hullbreaker, Negatron Cloak, Winged Moonplate, Stealth Ward"
No Kàyn No Gàin,JarvanIV,"Tank, Fighter",6,7,19,JUNGLE,200,True,12451,18018,14,127,"Spear of Shojin, Eclipse, Ionian Boots of Lucidity, Sundered Sky, Spectre's Cowl, Unknown Item, Oracle Lens"
LV  Atinjsh,Brand,Mage,11,8,10,MIDDLE,200,True,12367,30321,152,0,"Refillable Potion, Sorcerer's Shoes, Needlessly Large Rod, Blackfire Torch, Liandry's Torment, Shadowflame, Stealth Ward"
Its Top G,MissFortune,Marksman,5,7,7,BOTTOM,200,True,11134,12344,176,0,"The Collector, Berserker's Greaves, Youmuu's Ghostblade, Serylda's Grudge, Unknown Item, Unknown Item, Stealth Ward"
Bitter Butter0,Pantheon,"Fighter, Assassin",8,7,9,UTILITY,200,True,10828,19143,47,4,"Bloodsong, Eclipse, Hexdrinker, Unknown Item, Sundered Sky, Boots of Swiftness, Oracle Lens"
Enoploter,Sett,"Fighter, Tank",1,10,2,TOP,100,False,8178,18329,159,0,"Doran's Shield, Stridebreaker, Boots of Swiftness, Hullbreaker, Unknown Item, Unknown Item, Stealth Ward"
Mr Jovanovic,Nunu,"Tank, Fighter",3,9,5,JUNGLE,100,False,8851,11833,20,126,"Liandry's Torment, Hextech Rocketbelt, Oblivion Orb, Plated Steelcaps, Unknown Item, Unknown Item, Stealth Ward"
VΛDΞR,Malzahar,"Mage, Assassin",4,8,4,MIDDLE,100,False,9598,12000,165,0,"Doran's Ring, Sorcerer's Shoes, Liandry's Torment, Malignance, Needlessly Large Rod, Unknown Item, Stealth Ward"
Nixor21,Alistar,"Tank, Support",6,12,5,BOTTOM,100,False,10482,17618,134,0,"Dark Seal, Stormsurge, Sorcerer's Shoes, Unknown Item, Lich Bane, Hextech Rocketbelt, Stealth Ward"
sSNitroSs,Blitzcrank,"Tank, Fighter",3,10,5,UTILITY,100,False,6916,14416,37,0,"Zaz'Zak's Realmspike, Sorcerer's Shoes, Hextech Alternator, Lich Bane, Unknown Item, Unknown Item, Stealth Ward"
Ozí,Ornn,"Tank, Fighter",8,4,10,TOP,200,True,12923,32645,191,0,"Doran's Shield, Warmog's Armor, Sunfire Aegis, Mercury's Treads, Jak'Sho, The Protean, Unknown Item, Stealth Ward"
JanSebastianBach,Khazix,Assassin,7,5,11,JUNGLE,200,True,11243,20006,9,120,"Edge of Night, Youmuu's Ghostblade, Mercury's Treads, Opportunity, Long Sword, Long Sword, Oracle Lens"
DangeryX,Qiyana,"Assassin, Fighter",20,2,10,MIDDLE,200,True,15209,39648,196,2,"Serylda's Grudge, Profane Hydra, Edge of Night, Axiom Arc, Mercury's Treads, Serrated Dirk, Stealth Ward"
Kazumoo,Varus,"Marksman, Mage",12,5,5,BOTTOM,200,True,11909,18788,173,8,"Muramana, Pickaxe, Blade of The Ruined King, Ionian Boots of Lucidity, Unknown Item, Opportunity, Stealth Ward"
Vonavi,Thresh,"Support, Fighter",2,1,23,UTILITY,200,True,8376,9145,29,0,"Locket of the Iron Solari, Warmog's Armor, Ruby Crystal, Synchronized Souls, Unknown Item, Solstice Sleigh, Oracle Lens"
ZZvona,Mordekaiser,Fighter,4,5,2,TOP,100,True,9135,16927,154,2,"Doran's Shield, Liandry's Torment, Bramble Vest, Plated Steelcaps, Rylai's Crystal Scepter, Unknown Item, Stealth Ward"
ApolloAnime,Singed,"Tank, Fighter",1,5,15,JUNGLE,100,True,9477,11639,18,132,"Liandry's Torment, Boots of Swiftness, Rylai's Crystal Scepter, Chain Vest, Negatron Cloak, Unknown Item, Stealth Ward"
Medo Majka,Irelia,"Fighter, Assassin",12,5,5,MIDDLE,100,True,13272,27714,172,12,"Doran's Blade, Blade of The Ruined King, Mercury's Treads, Sundered Sky, Sterak's Gage, Unknown Item, Stealth Ward"
Grga20,Jhin,"Marksman, Mage",10,2,12,BOTTOM,100,True,12444,21974,153,13,"Doran's Blade, Statikk Shiv, Rapid Firecannon, Infinity Edge, Boots of Swiftness, Serrated Dirk, Farsight Alteration"
Recommended,Blitzcrank,"Tank, Fighter",4,3,10,UTILITY,100,True,7691,7048,23,4,"Solstice Sleigh, Locket of the Iron Solari, Boots of Swiftness, Zeke's Convergence, Winged Moonplate, Cloth Armor, Oracle Lens"
Vonavi,Yorick,"Fighter, Tank",3,3,5,TOP,200,False,10436,13518,162,18,"Tunneler, Mercury's Treads, Trinity Force, Control Ward, Sterak's Gage, Unknown Item, Stealth Ward"
Mr Jovanovic,Volibear,"Fighter, Tank",4,5,7,JUNGLE,200,False,9530,12620,44,114,"Navori Flickerblade, Rod of Ages, Plated Steelcaps, Cloth Armor, Winged Moonplate, Spectre's Cowl, Stealth Ward"
VΛDΞR,Veigar,Mage,4,7,3,MIDDLE,200,False,9242,12741,159,0,"Doran's Ring, Seeker's Armguard, Morellonomicon, Luden's Companion, Sorcerer's Shoes, Unknown Item, Stealth Ward"
Kazumoo,Samira,Marksman,7,7,1,BOTTOM,200,False,9797,20967,135,1,"Infinity Edge, Last Whisper, The Collector, Plated Steelcaps, Unknown Item, Unknown Item, Stealth Ward"
Hell Apple,Lux,"Mage, Support",2,9,5,UTILITY,200,False,7060,13281,33,4,"Luden's Companion, Zaz'Zak's Realmspike, Hextech Alternator, Sorcerer's Shoes, Fiendish Codex, Unknown Item, Oracle Lens"
Luksiokas,Mordekaiser,Fighter,4,2,2,TOP,100,False,9646,19788,209,0,"Rylai's Crystal Scepter, Mercury's Treads, Riftmaker, Fated Ashes, Doran's Ring, Amplifying Tome, Stealth Ward"
viešpaŤs,Amumu,"Tank, Mage",1,6,6,JUNGLE,100,False,7629,13482,7,102,"Liandry's Torment, Bami's Cinder, Plated Steelcaps, Chain Vest, Unknown Item, Unknown Item, Oracle Lens"
Phillip3Ael,Tristana,"Marksman, Assassin",4,4,0,MIDDLE,100,False,10210,10203,196,8,"Doran's Blade, Kraken Slayer, Mercury's Treads, Navori Flickerblade, Pickaxe, B. F. Sword, Stealth Ward"
Boberyno,Jhin,"Marksman, Mage",3,8,4,BOTTOM,100,False,8872,14052,169,2,"Unknown Item, The Collector, Boots of Swiftness, Rapid Firecannon, Pickaxe, Unknown Item, Stealth Ward"
